08-17 11:43:03.114 INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
08-17 11:51:57.000 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
08-17 11:52:26.250 INFO  com.zhaouri.applelogin.DemoApplication - Starting DemoApplication on lifevcs-MacBook-Pro.local with PID 64772 (/Users/lifevc/Desktop/AppleLogin-java/applelogin/target/classes started by lifevc in /Users/lifevc/Desktop/AppleLogin-java/applelogin)
08-17 11:52:26.252 INFO  com.zhaouri.applelogin.DemoApplication - No active profile set, falling back to default profiles: default
08-17 11:52:26.305 INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in /Users/lifevc/.m2/repository/com/sun/xml/bind/jaxb-impl/2.3.0/jaxb-impl-2.3.0.jar referenced one or more files that do not exist: file:/Users/lifevc/.m2/repository/com/sun/xml/bind/jaxb-impl/2.3.0/jaxb-core.jar
08-17 11:52:26.305 INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in /Users/lifevc/.m2/repository/com/sun/xml/bind/jaxb-core/2.3.0/jaxb-core-2.3.0.jar referenced one or more files that do not exist: file:/Users/lifevc/.m2/repository/com/sun/xml/bind/jaxb-core/2.3.0/jaxb-api.jar
08-17 11:52:26.307 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
08-17 11:52:26.308 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
08-17 11:52:27.229 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
08-17 11:52:27.237 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
08-17 11:52:27.238 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
08-17 11:52:27.239 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
08-17 11:52:27.299 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
08-17 11:52:27.300 INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 992 ms
08-17 11:52:27.446 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
08-17 11:52:27.573 INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
08-17 11:52:27.613 INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
08-17 11:52:27.631 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
08-17 11:52:27.636 INFO  com.zhaouri.applelogin.DemoApplication - Started DemoApplication in 1.867 seconds (JVM running for 2.87)
08-17 11:52:36.537 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
08-17 11:52:36.541 INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
08-17 11:52:36.549 INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 8 ms
08-17 11:53:12.611 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
08-17 11:53:17.835 INFO  com.zhaouri.applelogin.DemoApplication - Starting DemoApplication on lifevcs-MacBook-Pro.local with PID 64790 (/Users/lifevc/Desktop/AppleLogin-java/applelogin/target/classes started by lifevc in /Users/lifevc/Desktop/AppleLogin-java/applelogin)
08-17 11:53:17.837 INFO  com.zhaouri.applelogin.DemoApplication - No active profile set, falling back to default profiles: default
08-17 11:53:17.888 INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in /Users/lifevc/.m2/repository/com/sun/xml/bind/jaxb-impl/2.3.0/jaxb-impl-2.3.0.jar referenced one or more files that do not exist: file:/Users/lifevc/.m2/repository/com/sun/xml/bind/jaxb-impl/2.3.0/jaxb-core.jar
