08-14 09:51:59.161 INFO  com.zhaouri.applelogin.DemoApplication - Starting DemoApplication on lifevcs-MacBook-Pro.local with PID 12599 (/Users/lifevc/Desktop/AppleLogin-java/applelogin/target/classes started by lifevc in /Users/lifevc/Desktop/AppleLogin-java/applelogin)
08-14 09:51:59.162 INFO  com.zhaouri.applelogin.DemoApplication - No active profile set, falling back to default profiles: default
08-14 09:51:59.216 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
08-14 09:51:59.216 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
08-14 09:51:59.931 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
08-14 09:51:59.940 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
08-14 09:51:59.941 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
08-14 09:51:59.941 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
08-14 09:51:59.990 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
08-14 09:51:59.991 INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 775 ms
08-14 09:52:00.131 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
08-14 09:52:00.174 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
08-14 09:52:00.176 INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
08-14 09:52:28.141 INFO  com.zhaouri.applelogin.DemoApplication - Starting DemoApplication on lifevcs-MacBook-Pro.local with PID 12616 (/Users/lifevc/Desktop/AppleLogin-java/applelogin/target/classes started by lifevc in /Users/lifevc/Desktop/AppleLogin-java/applelogin)
08-14 09:52:28.142 INFO  com.zhaouri.applelogin.DemoApplication - No active profile set, falling back to default profiles: default
08-14 09:52:28.191 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
08-14 09:52:28.191 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
08-14 09:52:28.903 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
08-14 09:52:28.909 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
08-14 09:52:28.909 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
08-14 09:52:28.910 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
08-14 09:52:28.955 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
08-14 09:52:28.956 INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 765 ms
08-14 09:52:29.086 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
08-14 09:52:29.130 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
08-14 09:52:29.133 INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
08-14 09:52:51.298 INFO  com.zhaouri.applelogin.DemoApplication - Starting DemoApplication on lifevcs-MacBook-Pro.local with PID 12626 (/Users/lifevc/Desktop/AppleLogin-java/applelogin/target/classes started by lifevc in /Users/lifevc/Desktop/AppleLogin-java/applelogin)
08-14 09:52:51.300 INFO  com.zhaouri.applelogin.DemoApplication - No active profile set, falling back to default profiles: default
08-14 09:52:51.353 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
08-14 09:52:51.354 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
08-14 09:52:52.079 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
08-14 09:52:52.086 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
08-14 09:52:52.086 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
08-14 09:52:52.086 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
08-14 09:52:52.136 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
08-14 09:52:52.137 INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 783 ms
08-14 09:52:52.274 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
08-14 09:52:52.387 INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
08-14 09:52:52.420 INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
08-14 09:52:52.437 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
08-14 09:52:52.440 INFO  com.zhaouri.applelogin.DemoApplication - Started DemoApplication in 1.571 seconds (JVM running for 2.262)
08-14 09:53:01.340 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
08-14 09:53:01.341 INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
08-14 09:53:01.347 INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 6 ms
08-14 09:53:06.920 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
08-14 09:53:10.755 INFO  com.zhaouri.applelogin.DemoApplication - Starting DemoApplication on lifevcs-MacBook-Pro.local with PID 12646 (/Users/lifevc/Desktop/AppleLogin-java/applelogin/target/classes started by lifevc in /Users/lifevc/Desktop/AppleLogin-java/applelogin)
08-14 09:53:10.757 INFO  com.zhaouri.applelogin.DemoApplication - No active profile set, falling back to default profiles: default
08-14 09:53:10.805 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
08-14 09:53:10.806 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
08-14 09:53:11.587 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
08-14 09:53:11.594 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
08-14 09:53:11.594 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
08-14 09:53:11.594 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
08-14 09:53:11.637 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
08-14 09:53:11.638 INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 832 ms
08-14 09:53:11.768 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
08-14 09:53:11.815 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
08-14 09:53:11.817 INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
08-14 09:54:00.720 INFO  com.zhaouri.applelogin.DemoApplication - Starting DemoApplication on lifevcs-MacBook-Pro.local with PID 12660 (/Users/lifevc/Desktop/AppleLogin-java/applelogin/target/classes started by lifevc in /Users/lifevc/Desktop/AppleLogin-java/applelogin)
08-14 09:54:00.721 INFO  com.zhaouri.applelogin.DemoApplication - No active profile set, falling back to default profiles: default
08-14 09:54:00.757 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
08-14 09:54:00.758 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
08-14 09:54:01.425 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
08-14 09:54:01.433 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
08-14 09:54:01.433 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
08-14 09:54:01.433 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
08-14 09:54:01.484 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
08-14 09:54:01.484 INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 726 ms
08-14 09:54:01.621 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
08-14 09:54:01.739 INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
08-14 09:54:01.771 INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
08-14 09:54:01.788 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
08-14 09:54:01.791 INFO  com.zhaouri.applelogin.DemoApplication - Started DemoApplication in 1.55 seconds (JVM running for 2.418)
08-14 09:54:05.363 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
08-14 09:54:05.363 INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
08-14 09:54:05.368 INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
08-14 09:54:13.846 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
08-14 09:54:17.859 INFO  com.zhaouri.applelogin.DemoApplication - Starting DemoApplication on lifevcs-MacBook-Pro.local with PID 12681 (/Users/lifevc/Desktop/AppleLogin-java/applelogin/target/classes started by lifevc in /Users/lifevc/Desktop/AppleLogin-java/applelogin)
08-14 09:54:17.860 INFO  com.zhaouri.applelogin.DemoApplication - No active profile set, falling back to default profiles: default
08-14 09:54:17.910 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
08-14 09:54:17.910 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
08-14 09:54:18.641 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
08-14 09:54:18.649 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
08-14 09:54:18.649 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
08-14 09:54:18.649 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
08-14 09:54:18.698 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
08-14 09:54:18.699 INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 788 ms
08-14 09:54:18.831 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
08-14 09:54:18.871 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
08-14 09:54:18.874 INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
08-14 09:54:34.867 INFO  com.zhaouri.applelogin.DemoApplication - Starting DemoApplication on lifevcs-MacBook-Pro.local with PID 12688 (/Users/lifevc/Desktop/AppleLogin-java/applelogin/target/classes started by lifevc in /Users/lifevc/Desktop/AppleLogin-java/applelogin)
08-14 09:54:34.868 INFO  com.zhaouri.applelogin.DemoApplication - No active profile set, falling back to default profiles: default
08-14 09:54:34.906 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
08-14 09:54:34.906 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
08-14 09:54:35.654 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
08-14 09:54:35.661 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
08-14 09:54:35.662 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
08-14 09:54:35.662 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
08-14 09:54:35.711 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
08-14 09:54:35.711 INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 805 ms
08-14 09:54:35.844 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
